Unnamed: 0,countryOrRegion,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
23582,India,Gandhi Jayanti,True,IN,2015-10-02
23583,Germany,Tag der Deutschen Einheit,True,DE,2015-10-03
23586,Croatia,Dan neovisnosti,True,HR,2015-10-08
23589,Argentina,Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day],True,AR,2015-10-12
23590,Brazil,Nossa Senhora Aparecida,True,BR,2015-10-12
23591,Canada,Thanksgiving,True,CA,2015-10-12
23592,Colombia,Descubrimiento de América [Discovery of America],True,CO,2015-10-12
23593,Japan,体育の日,True,JP,2015-10-12
23594,Spain,Día de la Hispanidad,True,ES,2015-10-12
23595,United States,Columbus Day,False,US,2015-10-12
23596,Ukraine,День захисника України,True,UA,2015-10-14
23599,Hungary,Nemzeti ünnep,True,HU,2015-10-23
23602,Austria,Nationalfeiertag,True,AT,2015-10-26
23603,Ireland,October Bank Holiday,True,IE,2015-10-26
23604,New Zealand,Labour Day,True,NZ,2015-10-26
23605,Czech,Den vzniku samostatného československého státu,True,CZ,2015-10-28
23606,Finland,Pyhäinpäivä,True,FI,2015-10-31
23607,Slovenia,dan reformacije,True,SI,2015-10-31
23608,Sweden,Alla helgons dag,True,SE,2015-10-31
23609,Austria,Allerheiligen,True,AT,2015-11-01
23610,Belgium,Allerheiligen,True,BE,2015-11-01
23611,Croatia,Svi sveti,True,HR,2015-11-01
23612,France,Toussaint,True,FR,2015-11-01
23613,Hungary,Mindenszentek,True,HU,2015-11-01
23614,Italy,Tutti i Santi,True,IT,2015-11-01
23616,Poland,Uroczystość Wszystkich świętych,True,PL,2015-11-01
23617,Slovenia,dan spomina na mrtve,True,SI,2015-11-01
23618,Spain,Todos los Santos,True,ES,2015-11-01
23620,Brazil,Finados,True,BR,2015-11-02
23621,Colombia,Dia de Todos los Santos [All Saint's Day],True,CO,2015-11-02
23622,Japan,文化の日,True,JP,2015-11-03
23623,Belarus,День Октябрьской революции,True,BY,2015-11-07
23626,Belgium,Wapenstilstand,True,BE,2015-11-11
23627,France,Armistice 1918,True,FR,2015-11-11
23628,Poland,Narodowe Święto Niepodległości,True,PL,2015-11-11
23629,United States,Veterans Day,False,US,2015-11-11
23630,Brazil,Proclamação da República,True,BR,2015-11-15
23633,Colombia,Independencia de Cartagena [Independence of Cartagena],True,CO,2015-11-16
23634,Mexico,Día de la Revolución [Revolution Day],True,MX,2015-11-16
23635,Czech,Den boje za svobodu a demokracii,True,CZ,2015-11-17
23636,Argentina,Día Nacional de la Soberanía [National Sovereignty Day],True,AR,2015-11-20
